transaction_id,sender,receiver,amount,timestamp,mode,is_structured,source_file
TRAIN-ANOM-1-0,Vikram Reddy,Anil Sharma,9923.0,2026-08-09T02:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-1-1,Vikram Reddy,Anil Sharma,9701.0,2026-08-12T04:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-1-2,Vikram Reddy,Anil Sharma,9976.0,2026-08-07T22:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-1-3,Vikram Reddy,Anil Sharma,10283.0,2026-08-09T22:00:00Z,UPI,False,transactions.csv
TRAIN-ANOM-1-4,Vikram Reddy,Anil Sharma,9668.0,2026-08-06T00:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-1-5,Vikram Reddy,Anil Sharma,9668.0,2026-08-10T07:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-1-6,Vikram Reddy,Anil Sharma,10302.0,2026-08-05T05:00:00Z,UPI,False,transactions.csv
TRAIN-ANOM-1-7,Vikram Reddy,Anil Sharma,10018.0,2026-08-03T17:00:00Z,UPI,False,transactions.csv
TRAIN-ANOM-1-8,Vikram Reddy,Anil Sharma,9585.0,2026-08-11T05:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-0,Amit Gupta,Sameer Gupta,9939.0,2026-08-03T12:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-1,Amit Gupta,Sameer Gupta,9587.0,2026-08-04T15:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-2,Amit Gupta,Sameer Gupta,9586.0,2026-08-09T06:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-3,Amit Gupta,Sameer Gupta,9834.0,2026-08-05T06:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-4,Amit Gupta,Sameer Gupta,9080.0,2026-08-05T10:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-5,Amit Gupta,Sameer Gupta,9146.0,2026-08-08T21:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-6,Amit Gupta,Sameer Gupta,9553.0,2026-08-08T01:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-7,Amit Gupta,Sameer Gupta,9395.0,2026-08-09T21:00:00Z,UPI,True,transactions.csv
TRAIN-ANOM-2-8,Amit Gupta,Sameer Gupta,9859.0,2026-08-02T14:00:00Z,UPI,True,transactions.csv
